domain,rank_by_NDCG@10,method,kind,status_label,artifact_class,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20,MRR,sample_count,avg_candidates,score_coverage_rate,ranking_events,total_candidates,matched_candidates,scores_csv_lines,predictions_jsonl_lines,predictions_jsonl_line_source,ranking_eval_records_csv_lines,summary_path,eval_path,scores_path,evidence_path,official_light_package_ok,ccrp_local_event_restat_ready
home,1,ccrp_v3_qwen3base_pointwise,internal_method,same_schema_internal_method,completed_result,0.1561,0.2264,0.3505,0.10978017620744406,0.13239420796539653,0.16351113583680343,0.1259477884601691,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,file,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_ccrp_v3/scores.csv,,,True
home,2,llmemb,official_baseline,same_schema_external_baseline,completed_result,0.1079,0.1856,0.3169,0.06899578967097944,0.09390612986107003,0.12674255822842873,0.09012268660291178,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_llmemb_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_llmemb_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_llmemb_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/home_large10000_100neg_llmemb_official_qwen3base_same_candidate,True,
home,3,irllrec_intent,official_baseline,same_schema_external_baseline,completed_result,0.0821,0.1443,0.2878,0.05108975290090002,0.07089752436733526,0.10662011242627112,0.07424325424843974,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/home_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate,True,
home,4,rlmrec_graphcl,official_baseline,same_schema_external_baseline,completed_result,0.0685,0.1268,0.2451,0.0412679545609819,0.05986997478531868,0.08932211717259726,0.06397404670906749,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/home_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate,True,
home,5,llmesr_sasrec,official_baseline,same_schema_external_baseline,completed_result,0.0621,0.1163,0.2139,0.037993209299003045,0.055376101596196485,0.0797502336556021,0.05973705454852346,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/home_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate,True,
home,6,proex_profile,official_baseline,same_schema_external_baseline,completed_result,0.0606,0.1177,0.2296,0.03662857786324662,0.054867449700296195,0.08290060869107069,0.059333264912585115,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_proex_profile_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_proex_profile_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_proex_profile_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/home_large10000_100neg_proex_profile_official_qwen3base_same_candidate,True,
home,7,llm2rec_sasrec,official_baseline,same_schema_external_baseline,completed_result,0.0577,0.1101,0.2153,0.034207889197971464,0.05094946457092548,0.07719596686909931,0.05638658593963179,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/home_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate,True,
home,8,promax_profile,official_baseline,same_schema_external_baseline,completed_result,0.0514,0.1019,0.2076,0.030788292596664168,0.046918087762152026,0.07326077825489297,0.053474908740382465,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_promax_profile_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_promax_profile_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_promax_profile_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/home_large10000_100neg_promax_profile_official_qwen3base_same_candidate,True,
home,9,elmrec_graph,official_baseline,same_schema_external_baseline,completed_result,0.0509,0.1021,0.2018,0.029717257242599254,0.04604407419158871,0.0708856096588022,0.05195852255617441,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/home_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/home_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate,True,
tools,1,ccrp_v3_qwen3base_pointwise,internal_method,same_schema_internal_method,completed_result,0.1937,0.2696,0.3931,0.14186375906171483,0.16611553052793934,0.19703986741872317,0.15585924577949772,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,file,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_ccrp_v3/scores.csv,,,True
tools,2,llmemb,official_baseline,same_schema_external_baseline,completed_result,0.1365,0.2257,0.3637,0.087457824217457,0.11594350972806679,0.15050644138929892,0.10649354669900822,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_llmemb_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_llmemb_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_llmemb_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/tools_large10000_100neg_llmemb_official_qwen3base_same_candidate,True,
tools,3,irllrec_intent,official_baseline,same_schema_external_baseline,completed_result,0.102,0.1651,0.3095,0.06504709833452535,0.08525707170530923,0.12100829406900945,0.08670154590435823,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/tools_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate,True,
tools,4,llm2rec_sasrec,official_baseline,same_schema_external_baseline,completed_result,0.0957,0.1625,0.2954,0.060227320850546905,0.08147852827156639,0.11481218118869342,0.08101396652891538,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/tools_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate,True,
tools,5,rlmrec_graphcl,official_baseline,same_schema_external_baseline,completed_result,0.0784,0.1354,0.2465,0.05017501611537314,0.06838865570840932,0.09599330874161652,0.07220064580885768,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/tools_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate,True,
tools,6,llmesr_sasrec,official_baseline,same_schema_external_baseline,completed_result,0.0711,0.127,0.2219,0.042728964614829223,0.060602849768892623,0.08433244535733923,0.06334161303438132,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/tools_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate,True,
tools,7,proex_profile,official_baseline,same_schema_external_baseline,completed_result,0.0602,0.1177,0.2329,0.037281705859706714,0.055676376797898205,0.08437492971571317,0.06071849976691817,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_proex_profile_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_proex_profile_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_proex_profile_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/tools_large10000_100neg_proex_profile_official_qwen3base_same_candidate,True,
tools,8,promax_profile,official_baseline,same_schema_external_baseline,completed_result,0.056,0.1046,0.2018,0.03468275603534166,0.05029722685396016,0.07458228366305956,0.056527355267188224,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_promax_profile_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_promax_profile_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_promax_profile_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/tools_large10000_100neg_promax_profile_official_qwen3base_same_candidate,True,
tools,9,elmrec_graph,official_baseline,same_schema_external_baseline,completed_result,0.0501,0.101,0.2101,0.029656030656687697,0.045870649973376774,0.07316592297455926,0.05237582779698271,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,server_final_evidence_audit,10001,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate/tables/same_candidate_external_baseline_summary.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate/tables/ranking_eval_records.csv,/home/ajifang/projects/pony-rec-rescue-shadow-v6/outputs/tools_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate/scores.csv,outputs/baselines/official_adapters/tools_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate,True,
